Había haber VMII3S0 0.171631
una uno DI0FS0 0.951241
vez vez NCFS000 1
una uno DI0FS0 0.951241
niña niño NCFS000 0.875
muy muy RG 1
bonita bonito AQ0FS0 1
. . Fp 1

Su su DP3CS0 1
madre madre NCFS000 1
le le PP3CSD00 1
había haber VAII1S0 0.414184
hecho hacer VMP00SM 0.618421
una uno DI0FS0 0.951241
capa capa NCFS000 0.833333
roja rojo AQ0FS0 1
y y CC 0.999812
la el DA0FS0 0.972146
muchachita muchacho NCFS00D 1
la lo PP3FSA00 0.0277626
llevaba llevar VMII1S0 0.5
tan tan RG 1
a a SPS00 0.99585
menudo menudo AQ0MS0 0.75
que que CS 0.4375
todo todo DI0MS0 0.559816
el el DA0MS0 1
mundo mundo NCMS000 1
la lo PP3FSA00 0.0277626
llamaba llamar VMII1S0 0.5
Caperucita_Roja caperucita_roja NP00000 1
. . Fp 1

Un uno DI0MS0 0.986987
día día NCMS000 1
, , Fc 1
su su DP3CS0 1
madre madre NCFS000 1
le le PP3CSD00 1
pidió pedir VMIS3S0 1
que que CS 0.4375
llevase llevar VMSI1S0 0.462493
unos uno DI0MP0 0.879032
pasteles pastel NCMP000 0.993827
a a SPS00 0.99585
su su DP3CS0 1
abuela abuelo NCFS000 1
que que PR0CN000 0.5625
vivía vivir VMII1S0 0.5
a a SPS00 1
el el DA0MS0 1
otro otro DI0MS0 0.61215
lado lado NCMS000 1
de de SPS00 1
el el DA0MS0 1
bosque bosque NCMS000 1
, , Fc 1
recomendando recomendar VMG0000 1
le le PP3CSD00 1
que que CS 0.4375
no no RN 0.99778
se se P0000000 0.465602
entretuviese entretener VMSI1S0 0.5
por por SPS00 1
el el DA0MS0 1
camino camino NCMS000 0.978261
, , Fc 1
pues pues CS 0.990385
cruzar cruzar VMN0000 1
el el DA0MS0 1
bosque bosque NCMS000 1
era ser VSII1S0 0.490859
muy muy RG 1
peligroso peligroso AQ0MS0 1
, , Fc 1
ya_que ya_que CS 1
siempre siempre RG 1
andaba andar VMII1S0 0.5
acechando acechar VMG0000 1
por por SPS00 1
allí allí RG 1
el el DA0MS0 1
lobo lobo NCMS000 1
. . Fp 1

Caperucita_Roja caperucita_roja NP00000 1
recogió recoger VMIS3S0 1
la el DA0FS0 0.972146
cesta cesta NCFS000 1
con con SPS00 1
los el DA0MP0 0.97623
pasteles pastel NCMP000 0.993827
y y CC 0.999812
se se P0000000 0.465602
puso poner VMIS3S0 1
en en SPS00 1
camino camino NCMS000 0.978261
. . Fp 1

La el DA0FS0 0.972146
niña niño NCFS000 0.875
tenía tener VMII1S0 0.5
que que CS 0.4375
atravesar atravesar VMN0000 1
el el DA0MS0 1
bosque bosque NCMS000 1
para para SPS00 0.998507
llegar llegar VMN0000 1
a a SPS00 0.99585
casa casa NCFS000 0.971264
de de SPS00 0.999919
la el DA0FS0 0.972146
Abuelita abuelita NP00000 1
, , Fc 1
pero pero CC 0.998821
no no RN 0.99778
le le PP3CSD00 1
daba dar VMII1S0 0.5
miedo miedo NCMS000 1
porque porque CS 1
allí allí RG 1
siempre siempre RG 1
se se P0000000 0.465602
encontraba encontrar VMII1S0 0.5
con con SPS00 1
muchos mucho DI0MP0 0.541667
amigos amigo NCMP000 0.96875
: : Fd 1
los el DA0MP0 0.97623
pájaros pájaro NCMP000 1
, , Fc 1
las el DA0FP0 0.97051
ardillas ardilla NCFP000 1
... ... Fs 1
De_repente de_repente RG 1
vio ver VMIS3S0 1
a a SPS00 1
el el DA0MS0 1
lobo lobo NCMS000 1
, , Fc 1
que que PR0CN000 0.5625
era ser VSII1S0 0.490859
enorme enorme AQ0CS0 1
, , Fc 1
delante_de delante_de SPS00 1
ella él PP3FS000 1
. . Fp 1

- - Fg 1
¿ ¿ Fia 1
A a SPS00 0.99585
dónde dónde PT000000 1
vas ir VMIP2S0 0.833333
, , Fc 1
niña niño NCFS000 0.875
? ? Fit 1
- - Fg 1
le le PP3CSD00 1
preguntó preguntar VMIS3S0 1
el el DA0MS0 1
lobo lobo NCMS000 1
con con SPS00 1
su su DP3CS0 1
voz voz NCFS000 1
ronca ronco AQ0FS0 0.328475
. . Fp 1

- - Fg 1
A a SPS00 0.99585
casa casa NCFS000 0.971264
de de SPS00 0.999919
mi mi DP1CSS 0.995536
Abuelita abuelita NP00000 1
- - Fg 1
le le PP3CSD00 1
dijo decir VMIS3S0 1
Caperucita caperucita NP00000 1
. . Fp 1

- - Fg 1
No no RN 0.997632
está estar VAIP3S0 0.996032
lejos lejos RG 1
- - Fg 1
pensó pensar VMIS3S0 1
el el DA0MS0 1
